Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
ClearBridge Investments LLC,1.91%,"5,524,817","860,932,233","+18,450",+0.34%,ECL
Wellington Management Co. LLP,1.90%,"5,488,548","855,280,435","+94,539",+1.75%,ECL
Bill & Melinda Gates Foundation T...,1.51%,"4,366,426","680,420,164",0,0.00%,ECL
Morgan Stanley Investment Managem...,1.27%,"3,681,288","573,655,109","-4,694,324",-56.05%,ECL
Geode Capital Management LLC,1.27%,"3,674,510","572,598,893","+96,133",+2.69%,ECL
"The Vanguard Group, Inc.",8.06%,"29,235,937","1,601,836,988","+62,964",+0.22%,EIX
"SSgA Funds Management, Inc.",7.48%,"27,110,949","1,485,408,896","+1,108,106",+4.26%,EIX
"T. Rowe Price Associates, Inc. (I...",6.88%,"24,941,955","1,366,569,714","+6,608,492",+36.05%,EIX
BlackRock Fund Advisors,6.04%,"21,897,956","1,199,789,009","+739,780",+3.50%,EIX
Capital Research & Management Co....,6.00%,"21,741,987","1,191,243,468","+4,492,182",+26.04%,EIX
Macquarie Investment Management B...,3.49%,"12,660,376","693,662,001","+1,623,205",+14.71%,EIX
"JPMorgan Investment Management, I...",2.63%,"9,549,850","523,236,282","-4,218,348",-30.64%,EIX
Fidelity Management & Research Co...,2.41%,"8,733,076","478,485,234","+2,713,707",+45.08%,EIX
"Boston Partners Global Investors,...",2.18%,"7,900,646","432,876,394","+879,793",+12.53%,EIX
Pzena Investment Management LLC,1.66%,"6,031,294","330,454,598","+342,174",+6.01%,EIX
"The Vanguard Group, Inc.",7.67%,"15,901,051","2,999,256,240","+98,168",+0.62%,EW
BlackRock Fund Advisors,5.46%,"11,316,047","2,134,432,785","+811,698",+7.73%,EW
"SSgA Funds Management, Inc.",4.30%,"8,916,931","1,681,911,525","+121,185",+1.38%,EW
Fidelity Management & Research Co...,3.81%,"7,891,828","1,488,556,597","+422,072",+5.65%,EW
Sands Capital Management LLC,2.93%,"6,069,559","1,144,840,219","-1,330,525",-17.98%,EW
Jennison Associates LLC,2.36%,"4,891,461","922,627,374","-1,220,793",-19.97%,EW
