Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"The Vanguard Group, Inc.",8.61%,"49,524,158","6,760,542,809","+399,718",+0.81%,MMM
"SSgA Funds Management, Inc.",7.36%,"42,314,221","5,776,314,309","+134,874",+0.32%,MMM
BlackRock Fund Advisors,5.00%,"28,757,731","3,925,717,859","+704,168",+2.51%,MMM
Massachusetts Financial Services ...,1.90%,"10,907,708","1,489,011,219","-117,927",-1.07%,MMM
State Farm Investment Management ...,1.78%,"10,245,700","1,398,640,507","-886,000",-7.96%,MMM
Geode Capital Management LLC,1.63%,"9,384,626","1,281,095,295","+282,176",+3.10%,MMM
"Northern Trust Investments, Inc.(...",1.27%,"7,325,778","1,000,041,955","-79,674",-1.08%,MMM
Wellington Management Co. LLP,1.06%,"6,116,198","834,922,189","+664,007",+12.18%,MMM
Flossbach von Storch AG,1.01%,"5,822,643","794,848,996","+783,952",+15.56%,MMM
Norges Bank Investment Management,0.87%,"4,975,366","679,187,213","+155,879",+3.23%,MMM
"The Vanguard Group, Inc.",8.44%,"148,783,982","11,740,544,020","+1,245,808",+0.84%,ABT
Capital Research & Management Co....,6.45%,"113,689,293","8,971,222,111","+616,255",+0.55%,ABT
BlackRock Fund Advisors,4.74%,"83,656,249","6,601,314,609","-2,496,183",-2.90%,ABT
"SSgA Funds Management, Inc.",4.17%,"73,555,650","5,804,276,342","+978,575",+1.35%,ABT
Capital Research & Management Co....,2.68%,"47,327,202","3,734,589,510","+1,328,056",+2.89%,ABT
Wellington Management Co. LLP,2.19%,"38,600,336","3,045,952,514","-2,088,922",-5.13%,ABT
Massachusetts Financial Services ...,1.76%,"30,979,804","2,444,616,334","-909,160",-2.85%,ABT
"Northern Trust Investments, Inc.(...",1.52%,"26,740,170","2,110,066,815","+468,707",+1.78%,ABT
Geode Capital Management LLC,1.42%,"25,003,825","1,973,051,831","+330,243",+1.34%,ABT
Fidelity Management & Research Co...,1.34%,"23,688,027","1,869,222,211","-1,349,237",-5.39%,ABT
"The Vanguard Group, Inc.",8.13%,"120,014,023","9,143,868,412","+384,561",+0.32%,ABBV
Capital Research & Management Co....,5.87%,"86,602,693","6,598,259,180","-14,011,979",-13.93%,ABBV
"SSgA Funds Management, Inc.",4.65%,"68,686,698","5,233,239,521","-134,041",-0.19%,ABBV
BlackRock Fund Advisors,4.37%,"64,500,051","4,914,258,886","-2,209,581",-3.31%,ABBV
Fidelity Management & Research Co...,2.48%,"36,645,084","2,791,988,950","+2,663,144",+7.84%,ABBV
"T. Rowe Price Associates, Inc. (I...",1.90%,"28,089,514","2,140,140,072","+8,310,959",+42.02%,ABBV
Geode Capital Management LLC,1.65%,"24,428,777","1,861,228,520","+681,783",+2.87%,ABBV
"Northern Trust Investments, Inc.(...",1.32%,"19,448,490","1,481,780,453","-182,144",-0.93%,ABBV
Orbis Investment Management Ltd.,1.08%,"15,949,703","1,215,207,872","-1,126,356",-6.60%,ABBV
Norges Bank Investment Management,1.00%,"14,832,116","1,130,058,918","-82,814",-0.56%,ABBV
"The Vanguard Group, Inc.",10.45%,"4,709,099","683,572,811","-5,120",-0.11%,ABMD
PRIMECAP Management Co.,6.84%,"3,082,840","447,505,054","-3,000",-0.10%,ABMD
Baillie Gifford & Co.,6.04%,"2,719,881","394,817,926","+27,260",+1.01%,ABMD
BlackRock Fund Advisors,5.54%,"2,494,180","362,055,169","+91,292",+3.80%,ABMD
Sands Capital Management LLC,5.42%,"2,441,076","354,346,592","+500,246",+25.77%,ABMD
Renaissance Technologies LLC,5.16%,"2,323,023","337,210,019","+187,300",+8.77%,ABMD
"SSgA Funds Management, Inc.",4.57%,"2,059,397","298,942,069","+78,159",+3.94%,ABMD
Wellington Management Co. LLP,4.11%,"1,851,997","268,835,885","+1,777,800","+2,396.05%",ABMD
Brown Capital Management LLC,3.62%,"1,629,592","236,551,575","+3,050",+0.19%,ABMD
AllianceBernstein LP,2.11%,"952,278","138,232,674","+364,505",+62.01%,ABMD
"The Vanguard Group, Inc.",8.71%,"55,456,534","9,053,833,741","+276,941",+0.50%,ACN
BlackRock Fund Advisors,4.94%,"31,483,601","5,140,012,699","+289,311",+0.93%,ACN
Massachusetts Financial Services ...,4.41%,"28,109,267","4,589,118,930","-567,056",-1.98%,ACN
"SSgA Funds Management, Inc.",4.20%,"26,753,807","4,367,826,531","+167,152",+0.63%,ACN
Capital Research & Management Co....,2.30%,"14,671,063","2,395,197,745","-1,228,301",-7.73%,ACN
Wellington Management Co. LLP,1.90%,"12,103,779","1,976,062,960","+39,907",+0.33%,ACN
Geode Capital Management LLC,1.66%,"10,540,443","1,720,832,724","+165,557",+1.60%,ACN
"Northern Trust Investments, Inc.(...",1.53%,"9,724,332","1,587,594,442","-136,662",-1.39%,ACN
Fidelity Management & Research Co...,1.37%,"8,725,133","1,424,465,214","+520,299",+6.34%,ACN
Morgan Stanley Investment Managem...,1.22%,"7,738,763","1,263,430,447","+204,750",+2.72%,ACN
Fidelity Management & Research Co...,8.18%,"62,949,291","3,744,223,829","+13,266,238",+26.70%,ATVI
"The Vanguard Group, Inc.",7.46%,"57,410,886","3,414,799,499","+586,510",+1.03%,ATVI
Capital Research & Management Co....,7.42%,"57,067,093","3,394,350,692","+2,324,854",+4.25%,ATVI
Capital Research & Management Co....,6.95%,"53,450,036","3,179,208,141","-759,925",-1.40%,ATVI
BlackRock Fund Advisors,4.46%,"34,340,047","2,042,545,996","+364,964",+1.07%,ATVI
"SSgA Funds Management, Inc.",4.33%,"33,329,470","1,982,436,876","+367,164",+1.11%,ATVI
Columbia Management Investment Ad...,1.69%,"12,980,174","772,060,750","-755,346",-5.50%,ATVI
Geode Capital Management LLC,1.47%,"11,270,220","670,352,686","+210,698",+1.91%,ATVI
"Invesco Advisers, Inc.",1.32%,"10,124,994","602,234,643","-469,982",-4.44%,ATVI
"Northern Trust Investments, Inc.(...",1.16%,"8,937,549","531,605,415","-128,298",-1.42%,ATVI
"The Vanguard Group, Inc.",7.83%,"37,743,392","12,011,457,070","+127,302",+0.34%,ADBE
Fidelity Management & Research Co...,7.17%,"34,521,354","10,986,075,697","-711,153",-2.02%,ADBE
BlackRock Fund Advisors,4.62%,"22,235,033","7,076,076,902","-29,265",-0.13%,ADBE
"SSgA Funds Management, Inc.",4.13%,"19,911,953","6,336,779,923","+157,055",+0.80%,ADBE
PRIMECAP Management Co.,3.15%,"15,161,190","4,824,897,106","-779,501",-4.89%,ADBE
Janus Capital Management LLC,1.67%,"8,039,818","2,558,591,680","+194,488",+2.48%,ADBE
Jennison Associates LLC,1.53%,"7,387,666","2,351,050,828",+36,+0.00%,ADBE
Geode Capital Management LLC,1.43%,"6,872,434","2,187,083,396","+202,542",+3.04%,ADBE
Massachusetts Financial Services ...,1.39%,"6,711,059","2,135,727,416","-99,050",-1.45%,ADBE
"Northern Trust Investments, Inc.(...",1.23%,"5,931,621","1,887,679,067","-73,096",-1.22%,ADBE
"The Vanguard Group, Inc.",9.08%,"106,265,270","4,832,944,480","-15,066,095",-12.42%,AMD
BlackRock Fund Advisors,4.89%,"57,224,341","2,602,563,029","+882,935",+1.57%,AMD
Fidelity Management & Research Co...,4.78%,"55,940,883","2,544,191,359","+4,332,831",+8.40%,AMD
"T. Rowe Price Associates, Inc. (I...",3.94%,"46,162,302","2,099,461,495","+37,346,197",+423.61%,AMD
"SSgA Funds Management, Inc.",3.73%,"43,612,888","1,983,514,146","+1,589,675",+3.78%,AMD
"JPMorgan Investment Management, I...",3.19%,"37,298,941","1,696,355,837","+3,166,544",+9.28%,AMD
Wellington Management Co. LLP,2.69%,"31,529,303","1,433,952,700","-3,569,729",-10.17%,AMD
Capital Research & Management Co....,2.42%,"28,374,656","1,290,479,355","+12,391,142",+77.52%,AMD
Artisan Partners LP,1.68%,"19,701,651","896,031,087","-1,435,296",-6.79%,AMD
Geode Capital Management LLC,1.52%,"17,808,405","809,926,259","+1,017,603",+6.06%,AMD
"The Vanguard Group, Inc.",10.52%,"7,280,848","679,448,735","-189,193",-2.53%,AAP
ClearBridge Investments LLC,6.01%,"4,162,485","388,443,100","-61,260",-1.45%,AAP
"Barrow, Hanley, Mewhinney & Strau...",5.58%,"3,862,239","360,424,143","-3,003,680",-43.75%,AAP
BlackRock Fund Advisors,4.87%,"3,369,367","314,429,328","-193,065",-5.42%,AAP
"SSgA Funds Management, Inc.",4.72%,"3,269,674","305,125,978","-57,828",-1.74%,AAP
Melvin Capital Management LP,4.54%,"3,146,001","293,584,813","+463,032",+17.26%,AAP
Starboard Value LP,3.72%,"2,573,397","240,149,408",0,0.00%,AAP
American Century Investment Manag...,2.49%,"1,722,381","160,732,595","-330,284",-16.09%,AAP
Artisan Partners LP,2.42%,"1,677,192","156,515,557","+25,585",+1.55%,AAP
Neuberger Berman Investment Advis...,1.93%,"1,335,827","124,659,376","+69,929",+5.52%,AAP
"The Vanguard Group, Inc.",13.20%,"87,721,042","1,193,006,171","+180,533",+0.21%,AES
Capital Research & Management Co....,11.02%,"73,251,344","996,218,278","+30,109,393",+69.79%,AES
"SSgA Funds Management, Inc.",5.19%,"34,504,491","469,261,078","-930,554",-2.63%,AES
BlackRock Fund Advisors,5.06%,"33,631,663","457,390,617","-1,611,708",-4.57%,AES
Columbia Management Investment Ad...,3.61%,"24,004,453","326,460,561","+72,131",+0.30%,AES
Fidelity Management & Research Co...,3.41%,"22,662,980","308,216,528","+7,808,820",+52.57%,AES
Renaissance Technologies LLC,2.04%,"13,558,100","184,390,160","+2,866,806",+26.81%,AES
Goldman Sachs Asset Management LP,1.87%,"12,428,321","169,025,166","+2,006,110",+19.25%,AES
Geode Capital Management LLC,1.87%,"12,433,614","169,097,150","+908,587",+7.88%,AES
Massachusetts Financial Services ...,1.60%,"10,645,167","144,774,271","-1,871,164",-14.95%,AES
"The Vanguard Group, Inc.",8.93%,"64,500,173","2,208,485,924","-2,332,964",-3.49%,AFL
BlackRock Fund Advisors,5.71%,"41,232,446","1,411,798,951","+789,010",+1.95%,AFL
"SSgA Funds Management, Inc.",5.33%,"38,498,841","1,318,200,316","-186,685",-0.48%,AFL
Wells Fargo Clearing Services LLC,1.73%,"12,464,560","426,786,534","+117,177",+0.95%,AFL
Geode Capital Management LLC,1.52%,"10,950,036","374,929,233","+189,960",+1.77%,AFL
"Northern Trust Investments, Inc.(...",1.29%,"9,303,062","318,536,843","-64,689",-0.69%,AFL
APG Asset Management NV,1.22%,"8,838,428","302,627,775","-617,662",-6.53%,AFL
Fidelity Management & Research Co...,1.09%,"7,860,533","269,144,650","-1,637,981",-17.24%,AFL
Norges Bank Investment Management,0.92%,"6,618,877","226,630,348","+910,740",+15.96%,AFL
The California Public Employees R...,0.85%,"6,163,027","211,022,044","-274,437",-4.26%,AFL
"The Vanguard Group, Inc.",7.95%,"24,623,853","1,763,560,352","-32,891",-0.13%,A
"T. Rowe Price Associates, Inc. (I...",6.81%,"21,097,845","1,511,027,659","-1,892,225",-8.23%,A
BlackRock Fund Advisors,4.96%,"15,350,024","1,099,368,719","-326,584",-2.08%,A
"SSgA Funds Management, Inc.",4.37%,"13,524,209","968,603,849","+130,991",+0.98%,A
"Nomura Securities Co., Ltd. (Priv...",2.66%,"8,223,898","588,995,575","+3,167,898",+62.66%,A
Wellington Management Co. LLP,2.26%,"6,991,095","500,702,224","-1,341,632",-16.10%,A
Artisan Partners LP,1.85%,"5,716,098","409,386,939","+402,021",+7.57%,A
D. E. Shaw & Co. LP,1.62%,"5,008,035","358,675,467","-33,831",-0.67%,A
Geode Capital Management LLC,1.57%,"4,855,166","347,726,989","-317,185",-6.13%,A
State Farm Investment Management ...,1.50%,"4,642,667","332,507,811","-846,708",-15.42%,A
"The Vanguard Group, Inc.",8.87%,"19,580,872","3,908,537,860","+57,329",+0.29%,APD
State Farm Investment Management ...,6.35%,"14,016,300","2,797,793,643","-256,000",-1.79%,APD
BlackRock Fund Advisors,4.93%,"10,883,948","2,172,544,860","-101,535",-0.92%,APD
"SSgA Funds Management, Inc.",4.60%,"10,160,769","2,028,191,100","-12,722",-0.13%,APD
Capital Research & Management Co....,2.40%,"5,302,787","1,058,489,313","-195,967",-3.56%,APD
"T. Rowe Price Associates, Inc. (I...",2.26%,"4,977,605","993,579,734","-1,430,824",-22.33%,APD
"JPMorgan Investment Management, I...",2.15%,"4,743,338","946,817,698","+422,937",+9.79%,APD
"Franklin Advisers, Inc.",1.93%,"4,264,471","851,231,056","+19,320",+0.46%,APD
Managed Account Advisors LLC,1.73%,"3,806,459","759,807,281","+1,117,667",+41.57%,APD
Geode Capital Management LLC,1.52%,"3,353,625","669,417,086","+115,688",+3.57%,APD
"The Vanguard Group, Inc.",10.59%,"17,135,807","1,567,754,982","-229,826",-1.32%,AKAM
BlackRock Fund Advisors,5.13%,"8,300,668","759,428,115","-96,134",-1.14%,AKAM
ClearBridge Investments LLC,5.03%,"8,146,978","745,367,017","+197,965",+2.49%,AKAM
"SSgA Funds Management, Inc.",4.46%,"7,225,652","661,074,901","+108,254",+1.52%,AKAM
Fidelity Management & Research Co...,3.90%,"6,319,810","578,199,417","-959,419",-13.18%,AKAM
Canada Pension Plan Investment Bo...,2.92%,"4,725,868","432,369,663","+16,241",+0.34%,AKAM
AQR Capital Management LLC,2.67%,"4,329,040","396,063,870","-787,559",-15.39%,AKAM
First Trust Advisors LP,2.35%,"3,797,735","347,454,775","+448,348",+13.39%,AKAM
Luther King Capital Management Co...,1.62%,"2,617,577","239,482,120","+97,301",+3.86%,AKAM
Geode Capital Management LLC,1.57%,"2,538,509","232,248,188","+60,934",+2.46%,AKAM
"The Vanguard Group, Inc.",10.92%,"13,383,017","381,014,494","+187,366",+1.42%,ALK
"T. Rowe Price Associates, Inc. (I...",7.23%,"8,856,905","252,156,085","-59,126",-0.66%,ALK
BlackRock Fund Advisors,5.04%,"6,176,110","175,833,852","+98,584",+1.62%,ALK
PRIMECAP Management Co.,4.93%,"6,038,017","171,902,344","+25,150",+0.42%,ALK
"Victory Capital Management, Inc. ...",3.39%,"4,150,337","118,160,094","+82,184",+2.02%,ALK
AllianceBernstein LP,3.28%,"4,020,458","114,462,439","+496,670",+14.09%,ALK
"SSgA Funds Management, Inc.",3.14%,"3,847,833","109,547,806","-117,106",-2.95%,ALK
"Franklin Advisers, Inc.",2.67%,"3,278,249","93,331,749","-7,436",-0.23%,ALK
"PAR Capital Management, Inc.",2.21%,"2,710,000","77,153,700",0,0.00%,ALK
Dimensional Fund Advisors LP,2.19%,"2,686,644","76,488,755","-75,861",-2.75%,ALK
"The Vanguard Group, Inc.",11.95%,"12,701,534","715,985,472","+59,286",+0.47%,ALB
"Franklin Advisers, Inc.",8.01%,"8,518,827","480,206,278","-735,979",-7.95%,ALB
"SSgA Funds Management, Inc.",7.03%,"7,469,623","421,062,649","+213,238",+2.94%,ALB
PRIMECAP Management Co.,5.45%,"5,798,130","326,840,588","-71,750",-1.22%,ALB
BlackRock Fund Advisors,5.25%,"5,583,886","314,763,654","+255,977",+4.80%,ALB
Baillie Gifford & Co.,4.18%,"4,441,007","250,339,565","+158,215",+3.69%,ALB
Shapiro Capital Management LLC,2.29%,"2,431,075","137,039,698","+2,431,075",--,ALB
BlackRock Investment Management (...,1.69%,"1,800,391","101,488,041","+45,381",+2.59%,ALB
Geode Capital Management LLC,1.58%,"1,680,426","94,725,614","+61,418",+3.79%,ALB
Dimensional Fund Advisors LP,1.57%,"1,673,834","94,354,023","+31,152",+1.90%,ALB
"The Vanguard Group, Inc.",15.18%,"18,630,324","2,553,472,207","+244,804",+1.33%,ARE
BlackRock Fund Advisors,6.21%,"7,615,530","1,043,784,542","+366,845",+5.06%,ARE
Norges Bank Investment Management,5.40%,"6,621,832","907,588,294","+808,795",+13.91%,ARE
"SSgA Funds Management, Inc.",4.98%,"6,105,211","836,780,220","-369,914",-5.71%,ARE
Principal Global Investors LLC,4.35%,"5,337,968","731,621,894","+181,054",+3.51%,ARE
"APG Asset Management US, Inc.",3.81%,"4,679,000","641,303,740","+120,595",+2.65%,ARE
Goldman Sachs & Co. LLC (Private ...,2.73%,"3,350,980","459,285,319","+2,338,550",+230.98%,ARE
Fidelity Management & Research Co...,2.55%,"3,123,617","428,122,946","-286,533",-8.40%,ARE
Wellington Management Co. LLP,1.78%,"2,187,407","299,806,003","-138,545",-5.96%,ARE
Principal Real Estate Investors L...,1.76%,"2,155,678","295,457,227","+33,831",+1.59%,ARE
"The Vanguard Group, Inc.",7.38%,"16,383,122","1,471,040,524","-146,929",-0.89%,ALXN
Fidelity Management & Research Co...,6.16%,"13,682,356","1,228,538,745","-4,829,286",-26.09%,ALXN
"T. Rowe Price Associates, Inc. (I...",5.45%,"12,105,898","1,086,988,581","+228,479",+1.92%,ALXN
BlackRock Fund Advisors,5.23%,"11,625,299","1,043,835,597","-150,668",-1.28%,ALXN
"SSgA Funds Management, Inc.",4.93%,"10,961,134","984,200,222","+90,952",+0.84%,ALXN
Baker Bros. Advisors LP,4.02%,"8,930,262","801,848,225","+672,194",+8.14%,ALXN
ClearBridge Investments LLC,2.87%,"6,362,789","571,314,824","+129,281",+2.07%,ALXN
Columbia Management Investment Ad...,2.37%,"5,264,414","472,691,733","+384,333",+7.88%,ALXN
Renaissance Technologies LLC,1.68%,"3,731,144","335,019,420","+881,477",+30.93%,ALXN
Artisan Partners LP,1.49%,"3,301,699","296,459,553","-1,550,736",-31.96%,ALXN
"The Vanguard Group, Inc.",9.99%,"7,871,708","1,369,283,607","+52,034",+0.67%,ALGN
Edgewood Management LLC,5.97%,"4,698,196","817,251,194","-16,372",-0.35%,ALGN
BlackRock Fund Advisors,5.02%,"3,954,881","687,951,550","-21,681",-0.55%,ALGN
"SSgA Funds Management, Inc.",3.93%,"3,098,413","538,968,941","+22,598",+0.73%,ALGN
Sands Capital Management LLC,3.71%,"2,924,588","508,732,083","+87,856",+3.10%,ALGN
Polen Capital Management LLC,3.59%,"2,826,782","491,718,729","+46,267",+1.66%,ALGN
Renaissance Technologies LLC,3.32%,"2,610,848","454,157,010","+394,948",+17.82%,ALGN
Hillhouse Capital Advisors Ltd.,2.99%,"2,353,591","409,407,154","+788,091",+50.34%,ALGN
Geode Capital Management LLC,1.70%,"1,339,280","232,967,756","+59,656",+4.66%,ALGN
"Bares Capital Management, Inc.",1.51%,"1,190,404","207,070,776","+140,891",+13.42%,ALGN
"The Vanguard Group, Inc.",10.67%,"9,880,379","909,192,476","+13,064",+0.13%,ALLE
AllianceBernstein LP,7.73%,"7,159,671","658,832,925","+378,767",+5.59%,ALLE
Aristotle Capital Management LLC,6.80%,"6,292,648","579,049,469","+2,072,211",+49.10%,ALLE
BlackRock Fund Advisors,6.60%,"6,109,249","562,173,093","+134,784",+2.26%,ALLE
"SSgA Funds Management, Inc.",4.54%,"4,205,369","386,978,055","-4,870",-0.12%,ALLE
Brown Brothers Harriman & Co. (In...,3.64%,"3,374,300","310,503,086","-434,109",-11.40%,ALLE
APG Asset Management NV,2.53%,"2,345,800","215,860,516","+1,092,700",+87.20%,ALLE
Pictet Asset Management SA,2.14%,"1,983,329","182,505,935","+376,117",+23.40%,ALLE
AKO Capital LLP,2.12%,"1,961,829","180,527,505","+82,906",+4.41%,ALLE
"T. Rowe Price Associates, Inc. (I...",1.92%,"1,781,186","163,904,736","-142,879",-7.43%,ALLE
"The Vanguard Group, Inc.",7.28%,"23,957,200","4,242,820,120","+153,068",+0.64%,AGN
GIC Pte Ltd. (Investment Manageme...,4.71%,"15,494,156","2,744,015,028","-2,579,238",-14.27%,AGN
BlackRock Fund Advisors,4.32%,"14,218,185","2,518,040,564","+79,237",+0.56%,AGN
"SSgA Funds Management, Inc.",4.21%,"13,838,630","2,450,821,373","-557,260",-3.87%,AGN
Farallon Capital Management LLC,2.83%,"9,300,000","1,647,030,000","+30,000",+0.32%,AGN
Credit Suisse Securities (USA) LL...,2.64%,"8,695,664","1,540,002,094","+959,598",+12.40%,AGN
Longview Partners LLP,2.10%,"6,909,434","1,223,660,761","-71,602",-1.03%,AGN
Adage Capital Management LP,2.00%,"6,578,499","1,165,052,173","+206,800",+3.25%,AGN
Goldman Sachs & Co. LLC (Private ...,1.87%,"6,162,979","1,091,463,581","+1,461,205",+31.08%,AGN
UBS Securities LLC,1.83%,"6,004,684","1,063,429,536","+835,569",+16.16%,AGN
"The Vanguard Group, Inc.",10.17%,"4,843,343","162,978,492","+322,708",+7.14%,ADS
BlackRock Fund Advisors,4.66%,"2,217,000","74,602,050","+63,035",+2.93%,ADS
Point72 Asset Management LP,4.05%,"1,926,602","64,830,157","+395,577",+25.84%,ADS
"SSgA Funds Management, Inc.",3.89%,"1,854,340","62,398,541","-14,622",-0.78%,ADS
Lyrical Asset Management LP,3.32%,"1,581,376","53,213,302","+76,274",+5.07%,ADS
Okumus Fund Management Ltd.,2.86%,"1,363,692","45,888,236","+1,363,692",--,ADS
Arlington Value Capital LLC,2.62%,"1,248,158","42,000,517","+170,764",+15.85%,ADS
"Boston Partners Global Investors,...",2.44%,"1,162,168","39,106,953","-21,839",-1.84%,ADS
AQR Capital Management LLC,2.22%,"1,055,237","35,508,725","+813,679",+336.85%,ADS
The Caisse de d�p�t et placement ...,1.91%,"908,682","30,577,149","+1,000",+0.11%,ADS
"The Vanguard Group, Inc.",12.39%,"30,356,344","1,465,907,852","+695,243",+2.34%,LNT
BlackRock Fund Advisors,7.44%,"18,239,663","880,793,326","+901,438",+5.20%,LNT
"SSgA Funds Management, Inc.",5.33%,"13,065,953","630,954,870","+696,570",+5.63%,LNT
"Victory Capital Management, Inc. ...",1.70%,"4,160,245","200,898,231","-17,679",-0.42%,LNT
Geode Capital Management LLC,1.66%,"4,058,860","196,002,349","+229,688",+6.00%,LNT
"Franklin Advisers, Inc.",1.61%,"3,954,522","190,963,867","+5,722",+0.14%,LNT
Invesco Capital Management LLC,1.61%,"3,935,116","190,026,752","-92,787",-2.30%,LNT
Fidelity Management & Research Co...,1.46%,"3,586,820","173,207,538","+379,537",+11.83%,LNT
Cohen & Steers Capital Management...,1.26%,"3,086,604","149,052,107","+106,042",+3.56%,LNT
Zimmer Partners LP,1.22%,"3,000,000","144,870,000","+141,440",+4.95%,LNT
"The Vanguard Group, Inc.",7.70%,"24,404,143","2,238,592,037","+338,843",+1.41%,ALL
BlackRock Fund Advisors,5.55%,"17,579,140","1,612,534,512","+97,257",+0.56%,ALL
"SSgA Funds Management, Inc.",5.12%,"16,224,366","1,488,261,093","-50,861",-0.31%,ALL
Macquarie Investment Management B...,2.76%,"8,748,218","802,474,037","+1,103,569",+14.44%,ALL
Columbia Management Investment Ad...,2.21%,"7,013,313","643,331,201","+1,916,411",+37.60%,ALL
"Northern Trust Investments, Inc.(...",1.98%,"6,260,242","574,251,999","-123,660",-1.94%,ALL
AQR Capital Management LLC,1.94%,"6,142,737","563,473,265","+118,787",+1.97%,ALL
LSV Asset Management,1.77%,"5,609,164","514,528,614","+66,110",+1.19%,ALL
Geode Capital Management LLC,1.60%,"5,066,148","464,717,756","+133,397",+2.70%,ALL
BlackRock Investment Management (...,1.17%,"3,693,739","338,826,678","+206,334",+5.92%,ALL
"The Vanguard Group, Inc.",7.46%,"22,381,783","26,006,512,757","+98,554",+0.44%,GOOGL
BlackRock Fund Advisors,4.39%,"13,168,044","15,300,608,726","+145,729",+1.12%,GOOGL
Fidelity Management & Research Co...,4.24%,"12,723,668","14,784,266,033","-183,861",-1.42%,GOOGL
"SSgA Funds Management, Inc.",3.88%,"11,643,410","13,529,060,250","+72,165",+0.62%,GOOGL
"T. Rowe Price Associates, Inc. (I...",2.36%,"7,085,075","8,232,502,896","+112,544",+1.61%,GOOGL
Geode Capital Management LLC,1.56%,"4,678,851","5,436,590,919","+110,137",+2.41%,GOOGL
Wellington Management Co. LLP,1.34%,"4,002,177","4,650,329,565","-181,986",-4.35%,GOOGL
"Northern Trust Investments, Inc.(...",1.26%,"3,777,867","4,389,692,561","+13,852",+0.37%,GOOGL
Capital Research & Management Co....,1.09%,"3,280,910","3,812,253,375","-150,086",-4.37%,GOOGL
Capital Research & Management Co....,0.94%,"2,808,981","3,263,895,473","-71,609",-2.49%,GOOGL
"The Vanguard Group, Inc.",6.50%,"22,152,176","25,758,771,775","-220,649",-0.99%,GOOG
BlackRock Fund Advisors,3.88%,"13,214,599","15,366,067,863","-40,538",-0.31%,GOOG
"T. Rowe Price Associates, Inc. (I...",3.59%,"12,236,164","14,228,333,861","+657,120",+5.68%,GOOG
"SSgA Funds Management, Inc.",3.44%,"11,715,942","13,623,414,517","-48,728",-0.41%,GOOG
Fidelity Management & Research Co...,2.51%,"8,551,911","9,944,247,630","-17,840",-0.21%,GOOG
Norges Bank Investment Management,1.94%,"6,624,572","7,703,118,567","+197,562",+3.07%,GOOG
Capital Research & Management Co....,1.27%,"4,337,057","5,043,173,250","+22,290",+0.52%,GOOG
Geode Capital Management LLC,1.25%,"4,254,922","4,947,665,851","+91,374",+2.19%,GOOG
"Northern Trust Investments, Inc.(...",1.18%,"4,036,279","4,693,425,584","-30,378",-0.75%,GOOG
AllianceBernstein LP,1.07%,"3,662,488","4,258,777,671","+69,103",+1.92%,GOOG
"The Vanguard Group, Inc.",7.93%,"147,287,232","5,695,597,261","+1,192,102",+0.82%,MO
BlackRock Fund Advisors,5.08%,"94,445,017","3,652,188,807","+2,321,702",+2.52%,MO
"SSgA Funds Management, Inc.",4.10%,"76,154,552","2,944,896,526","-2,677,624",-3.40%,MO
Capital Research & Management Co....,4.02%,"74,628,168","2,885,871,257","+7,988,057",+11.99%,MO
Fidelity Management & Research Co...,3.33%,"61,914,716","2,394,242,068","+10,184,648",+19.69%,MO
Capital Research & Management Co....,1.80%,"33,452,024","1,293,589,768","-6,385,851",-16.03%,MO
Capital Research & Management Co....,1.42%,"26,320,265","1,017,804,648","+691,697",+2.70%,MO
Geode Capital Management LLC,1.39%,"25,883,192","1,000,903,035","+761,711",+3.03%,MO
"Northern Trust Investments, Inc.(...",1.07%,"19,871,540","768,432,452","+106,386",+0.54%,MO
Janus Capital Management LLC,1.04%,"19,273,122","745,291,628","-179,379",-0.92%,MO
"The Vanguard Group, Inc.",6.30%,"31,343,562","61,111,169,703","+188,523",+0.61%,AMZN
BlackRock Fund Advisors,3.55%,"17,675,174","34,461,640,251","+96,913",+0.55%,AMZN
"SSgA Funds Management, Inc.",3.40%,"16,906,057","32,962,077,454","+200,105",+1.20%,AMZN
Fidelity Management & Research Co...,3.02%,"15,029,728","29,303,761,276","-1,047,056",-6.51%,AMZN
"T. Rowe Price Associates, Inc. (I...",3.01%,"15,000,013","29,245,825,346","-638,035",-4.08%,AMZN
Geode Capital Management LLC,1.19%,"5,901,043","11,505,381,558","+188,730",+3.30%,AMZN
"Northern Trust Investments, Inc.(...",0.97%,"4,842,269","9,441,068,715","-10,515",-0.22%,AMZN
Baillie Gifford & Co.,0.90%,"4,493,110","8,760,306,429","+56,178",+1.27%,AMZN
Norges Bank Investment Management,0.88%,"4,367,787","8,515,961,670","+20,213",+0.46%,AMZN
Capital Research & Management Co....,0.86%,"4,287,220","8,358,878,578","+50,365",+1.19%,AMZN
"SSgA Funds Management, Inc.",6.04%,"96,941,975","787,168,837","+27,771,481",+40.15%,AMCR
BlackRock Fund Advisors,3.87%,"62,029,785","503,681,854","+12,272,319",+24.66%,AMCR
"The Vanguard Group, Inc.",3.50%,"56,112,500","455,633,500","-269,324",-0.48%,AMCR
Norges Bank Investment Management,1.50%,"24,026,482","195,095,034","+17,806,553",+286.28%,AMCR
Geode Capital Management LLC,1.30%,"20,789,891","168,813,915","+482,857",+2.38%,AMCR
Federated Equity Management Compa...,0.94%,"15,069,858","122,367,247","+2,134,994",+16.51%,AMCR
